RONIN_ADDRESS,Elo,Rank
ronin:d95d8873017563fdf9635bc26c908d4ce4f052b4,1209,1374027
ronin:0a9cd64afdd4757d39f10ef389466d447dbe083c,1228,1312509
ronin:9e3092eb9654d571112323d5d97063013e2150c6,1053,1884991
ronin:33e6bf6b4161f2ba07a7b81b1292a8a15e1814be,2199,54810
ronin:f243ff39ee9bdffab0418b2e0eecc9722e1f814b,2191,56634
ronin:7e2479d1ca46359146a47eba8dd7488bbfc4d53f,1722,325651
ronin:4c695241929883a5a65faae369d685d58a51cac4,1878,190950
ronin:9b26c61cfefaeeb05833d62ba3a0350e9c2ae7e3,2093,83927
ronin:6b34749e6adeb9f0bcda374c440a321243bcde4b,2022,111436
ronin:b1d155cdd476089be778f3bcd7dd2f226c2e8110,1730,317383
ronin:6244f087aef0e38d80be63e591740e3454af6b44,2215,51139
ronin:79ce6f9db60e444982ba8c5229d21504a56b5063,1891,182443
ronin:fb8af527fa23397d4c67901d7bad546c949e5853,2876,3072
ronin:0fb0f84b9e3e7cb7dd3fb488ebf3f0f1b0eaf7b4,1980,131248
ronin:728c3838e4733a3762739ef7e851c4c87fbb2384,1773,274757
ronin:66ab10fee28269aca9adc16c862cf3c07bf4899c,2211,52172
ronin:89f105188a6e488b00be8eab1ea2986665938dd1,1421,798353
ronin:7a0b00b7f963e594f5e743d22fb8fd2feba59b59,1695,356284
ronin:55fe28b2a9ceb715c414cff5ba6c84d24208c969,2800,4360
ronin:0672db1e180800f2f4942f6e934eac4f06869aa3,1651,408600
ronin:302b5f064b6c23a8dc06b45a705cfe54b966cac1,2794,4468
ronin:641b5881f2fc2594270b0e94ff1d2c60e6ac2d2b,2643,8530
ronin:fb8a6c21b44777c5b66d24df235571631bce60e2,2628,9056
ronin:fb8bac4783514587cceeef4df82fab920247f223,1926,159901
ronin:defb6108fd6fb7fbd7031ae8e31853703c7dd388,2699,6677
ronin:a009ef7e1abe81f78defc26467ad1eacd199e8ea,1414,815180
ronin:f89bc6b4a969f8d7728e900f0a7054563b1924a8,2974,1938
ronin:d5c9f3c9ffc57e2375e26062f3b84115a6141ea2,2466,17857
ronin:64b52c64cd2de3ae43eba048c0974d6fbc7e6b49,1151,1592720
ronin:11accfef4c142af7f5714b4f635f32f65c98943c,1072,1836984
ronin:499af8552bbfb0b3bc793b8797671584762ec9fd,1917,165795
ronin:a0ef291e949497b4bafc245b153e5fd4a6d8291e,2273,39977
ronin:8b20f85057e7264ef139e6eacc7ccb1a748da5dd,2148,67167
ronin:b67cee9a2b89d1d408b1c07abc67b81d370dca18,2233,47502
ronin:f773e840c4b50c68f045451bc3c3f257a18862f9,2287,37831
ronin:7680f76094ba79b77ddb8ea60cce54f704220c49,1783,265786
ronin:2170ba6f281354766a647f134adede1c75c1aa0f,2020,112234
ronin:021275b519bf7f06a76a037c4b59e25d76e847da,1743,303864
ronin:0899587b95b331bb4d734670d0412f79ff3436ac,2344,29704
ronin:2f1d9193e99c18cbb652c744a69679b180509de3,2209,52639
ronin:3dbe124890f614c44e6c0754f0eeba51c99e586a,1822,232683
ronin:57a7d8204a559c7e6b7e164d13648da85888d12a,1688,364042
ronin:6538321c2aab053e834acd678e86aadc56210fc9,2101,81490
ronin:045b48fde489e7b08b62d56d4af591fbb6cb17ac,2766,4979
ronin:81fcc421fdae9bac710f740c74989eeb6e7ba64d,2365,27064
ronin:854595c8dc664bf2e25bbb6214a120a488a2db62,2818,4000
ronin:5ab72d7e15be572e5957c386f27740c774afb1b5,2404,23167
ronin:4edb0d6d5a4ddebd5b1f0e813ee3a7e918498aa0,1835,222001
ronin:3adf256f4fa776ec220e6c069e3c1798ae28c7c1,2059,96208
ronin:08a5ea4801381141a2e8e69a099dd0dd5f4c3737,1089,1790321
ronin:19fa35ec1b1f34a87bf848bffcdd04eef036a73d,1857,205224
ronin:1cf44629c3c917bdc1ab33e4cd95a1bcf1fc13cb,2457,18585
ronin:bb7d14d6a5e603d2f9f27c6c2fa197034319fe9f,2351,28865
ronin:d820f149ae781922e3581f9b11f6b42d2110262d,1505,635574
ronin:911d5257202eef32cff1ac0beb1f152cc817f8b2,1632,433671
ronin:d6b7cc4cbf4df0355b126672c43acc7b8703a928,2220,50086
ronin:713c2b8ff61aa78678923fe99c2523d429f26576,1528,592826
ronin:4ed3d8effc744a1cc19b15bb38183645a11b58cc,2114,77262
ronin:ce9f78c87703ca91af2d7de2b2872930bc9588c3,2095,83321
ronin:14f1e8bb3d8a5fc1ee0a53dcaf55e5b222ab6e8e,3079,1168
ronin:c677b4f48882ab9a6ea05d6b4ac7053271a237af,2199,54767
ronin:101f69aca0f124101c8d30171980f1a6b7a5f39d,1513,619063
ronin:29c1ba597cc5fb1bd2ea567de875826bde3559bc,2081,88125
ronin:6b9f01846781906a97d8273d4328472129dd4f98,1890,182754
ronin:47c7dfde0af1ff6c5e25027ef84cc349c4d4e301,2000,121975
ronin:031c53dbb2048988115cb8b1eef96bdeeddb3612,2425,21180
ronin:d3200df810d4b224cd2fcdec8d553335e721df6a,1254,1231281
ronin:5b20562b05067dce7d72c2dacf47d79527ae9f6f,1851,210092
ronin:9b32976a8eec83653335460ce3b15e8bb9667004,1956,143356
ronin:b38b75940f7114236fd39f5ce5bc6909a0b7fdb5,2463,18092
ronin:bee35032f345480c5455791bb4c9bd9164975bda,2158,64406
ronin:f17de0119f2e457f38369e70e672851c00963b3e,2097,82910
ronin:44bd55f006d104306ec3e8c8dff37a9cbe7da39e,1885,186399
ronin:8216b1d49fad46fa4b3b940ce46329426a5a32cd,2238,46423
ronin:b9410494a773be793e76a0f59da1ea1f5bf05ddd,1342,986501
ronin:2f11e2c0829ccb998ea2c6e6d0e90e760e76a5fa,1403,841199
ronin:e8f5729fa22b1184e7a43612c681f4a41f97abb2,1417,806926
ronin:07f0c525b75d8ac39b982bd7983d9f643e5cd58f,1730,316951
ronin:59dc295e21f0988a7a2fb37959950abaf68066a0,1841,217525
ronin:3e86f1fa65dfdef2ef8c0a947fa300ebce4f4a8e,1279,1157817
ronin:d9576b1f17359c068308d44d078d1e44cfe29bed,1425,789986
ronin:2a697693ee08460bd8a4ac233641456fb022777f,1563,535820
ronin:e9de4f1d899ff4cb4e12898d1f8e21f1bb1c91ab,1329,1018948
ronin:fb1affdcab7c2668632145e751b6cf6508454235,1700,350018
ronin:4cb2af7417612455ba22e0e88dc2760d97d0074d,1648,412292
ronin:9998ffc097c3652809848f375d37906979cde978,1924,161469
ronin:b7248ade99b12f7af139f10df39c2264f9a5ca92,1581,507330
ronin:27db494122a9cfd1f12f0fdb6d0a63a33e5f2483,1682,370996
ronin:b5b09e3bfcf3a4ecc645c875314dcbf2dfce99d0,2273,40075
ronin:e1e61c4a75d0155c71acf6d9ba04aace8d7db2c9,1780,268601
ronin:672c71d41f4a3f0344c385695fe9ffb72fdd7602,1918,164667
ronin:82570b2935317e0659379d90f88648d84e51a47a,1201,1401652
ronin:c51e870ac270d89962f9307a3c7cd501f315cdac,1604,472675
ronin:ab3c90a8539c88ee0da670c2d3dcb37e7df7d01f,1903,174767
ronin:440e3711216d8f7d9f800f254cb8faf9af14af0d,1060,1867957
ronin:6e2ef03b0bff55c8986c9717cd936c56fd367d3f,1437,765067
ronin:916c038d59067ca81c2e21a290064f0bede987fa,1474,692016
ronin:6b8449e8641c114df8962b9ed67ff1966aaadbeb,1788,262327
ronin:f9cfd6d460ecf1a79da6d792bc80ee70cd4e80b7,1733,313819
